fileid,labsamplename,labcategoryname,labcategorycode,labtestname,labtestcode,unit,result,resultasnumeric,resultmathoperation,asbestosdetected,labsampletype
-1,K22-De0001395,Asbestos in Soils (NZ GAMAS),,Weight (<10 mm >2 mm),,,,,,,Solid
-1,K22-De0001395,Asbestos in Soils (NZ GAMAS),,Weight (<2 mm),,,,,,,Solid
-1,K22-De0001395,Asbestos in Soils (AS 4964-2004),,Received Weight,,,,,,,Solid
-1,K22-De0001395,Asbestos in Soils (AS 4964-2004),,Total Dry Mass,,,,,,,Solid
-1,K22-De0001395,Asbestos in Soils (AS 4964-2004),,Total Analytical Fraction,,,,,,,Solid
-1,K22-De0001395,Asbestos in Soils (AS 4964-2004),,Asbestos Detected,,,,,,,Solid
-1,K22-De0001395,Asbestos in Soils (AS 4964-2004),,Asbestos Content (as asbestos),,,,,,,Solid
-1,K22-De0001395,Asbestos in Soils (AS 4964-2004),,Trace Analysis,,,,,,,Solid
-1,K22-De0001395,Asbestos in Soils (AS 4964-2004),,Sample Description,,,,,,,Solid
-1,K22-De0001395,Asbestos Fines (AF) < 10 mm,,Total AF,,,,,,,Solid
-1,K22-De0001395,Asbestos Fines (AF) < 10 mm,,AF Asbestos in Soil,,,,,,,Solid
-1,K22-De0001395,Asbestos Containing Materials (ACM) >10 mm,,Total ACM (> 10mm),,,,,,,Solid
-1,K22-De0001395,Asbestos (Presence/Absence),,Asbestos type,,,Chrysotile (White Asbestos) detected,,,,Solid
-1,K22-De0001395,Asbestos (Presence/Absence),,Asbestos form,,,-,,,,Solid
-1,K22-De0001395,,,Asbestos Sample Description,,,,,,,Solid
-1,K22-De0001395,,,% Moisture,,,,,,,Solid
-1,K22-De0001394,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos Presence / Absence,,,Asbestos NOT detected,,,Not Detected,Solid
-1,K22-De0001394,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Description of Asbestos Form,,,-,,,,Solid
-1,K22-De0001394,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Asbestos in ACM as % of Total Sample,,,-,,,,Solid
-1,K22-De0001394,New Zealand Guidelines Semi Quantitative Asbestos in Soil,,Combined Fibrous Asbestos + Asbestos Fines as % of Total Sample,,,-,,,,Solid
-1,K22-De0001394,Metals,,Arsenic,,,,,,,Solid
-1,K22-De0001394,Metals,,Chromium,,,,,,,Solid
-1,K22-De0001394,Metals,,Copper,,,,,,,Solid
-1,K22-De0001394,Metals,,Lead,,,,,,,Solid
-1,K22-De0001394,Metals,,Nickel,,,,,,,Solid
-1,K22-De0001394,Metals,,Zinc,,,,,,,Solid
-1,K22-De0001394,Metals,,Cadmium,,,,,,,Solid
-1,K22-De0001394,Heavy Metals,,Cadmium,,,,,,,Solid
-1,K22-De0001394,Heavy Metals,,Copper,,,,,,,Solid
-1,K22-De0001394,Heavy Metals,,Chromium,,,,,,,Solid
-1,K22-De0001394,Fibrous Asbestos (FA) >10 mm,,Total FA,,,,,,,Solid
-1,K22-De0001394,Fibrous Asbestos (FA) >10 mm,,FA % asbestos (weighted average),,,,,,,Solid
-1,K22-De0001394,Fibrous Asbestos (FA) >10 mm,,FA Asbestos in Soil,,,,,,,Solid
-1,K22-De0001394,Fibrous Asbestos (FA) <10 mm,,Total FA,,,,,,,Solid
-1,K22-De0001394,Fibrous Asbestos (FA) <10 mm,,FA % asbestos (weighted average),,,,,,,Solid
-1,K22-De0001394,Fibrous Asbestos (FA) <10 mm,,FA Asbestos in Soil,,,,,,,Solid
-1,K22-De0001394,Asbestos in Soils (NZ GAMAS),,Weight (>10 mm),,,,,,,Solid
-1,K22-De0001394,Asbestos in Soils (NZ GAMAS),,Weight (<10 mm >2 mm),,,,,,,Solid
-1,K22-De0001394,Asbestos in Soils (NZ GAMAS),,Weight (<2 mm),,,,,,,Solid
-1,K22-De0001394,Asbestos in Soils (AS 4964-2004),,Sample Description,,,,,,,Solid
-1,K22-De0001394,Asbestos in Soils (AS 4964-2004),,Received Weight,,,,,,,Solid
-1,K22-De0001394,Asbestos in Soils (AS 4964-2004),,Total Dry Mass,,,,,,,Solid
-1,K22-De0001394,Asbestos in Soils (AS 4964-2004),,Total Analytical Fraction,,,,,,,Solid
-1,K22-De0001394,Asbestos in Soils (AS 4964-2004),,Asbestos Detected,,,,,,,Solid
-1,K22-De0001394,Asbestos in Soils (AS 4964-2004),,Asbestos Content (as asbestos),,,,,,,Solid
-1,K22-De0001394,Asbestos in Soils (AS 4964-2004),,Trace Analysis,,,,,,,Solid
-1,K22-De0001394,Asbestos Fines (AF) < 10 mm,,Total AF,,,,,,,Solid
-1,K22-De0001394,Asbestos Fines (AF) < 10 mm,,AF Asbestos in Soil,,,,,,,Solid
-1,K22-De0001394,Asbestos Containing Materials (ACM) >10 mm,,Total ACM (> 10mm),,,,,,,Solid
-1,K22-De0001394,Asbestos (Presence/Absence),,Asbestos type,,,Chrysotile (White Asbestos) detected,,,,Solid
-1,K22-De0001394,Asbestos (Presence/Absence),,Asbestos form,,,-,,,,Solid
-1,K22-De0001394,,,% Moisture,,,,,,,Solid
