Lab sample ID,,K22-De0001355,K22-De0001356,K22-De0001357,K22-De0001358,K22-De0001359,K22-De0001360,K22-De0001361,K22-De0001362,K22-De0001363,K22-De0001364,K22-De0001365,K22-De0001366,K22-De0001367,K22-De0001368,K22-De0001369,K22-De0001370,K22-De0001371,K22-De0001372,K22-De0001373,K22-De0001374,K22-De0001375,K22-De0001376,K22-De0001377,K22-De0001378,K22-De0001379,K22-De0001380,K22-De0001381,K22-De0001382,K22-De0001383,K22-De0001384,K22-De0001385,K22-De0001386,K22-De0001387,K22-De0001388,K22-De0001389,K22-De0001390,K22-De0001391,K22-De0001392,K22-De0001393,K22-De0001394,K22-De0001395,K22-De0001396,K22-De0001397

Sample location,,13ASH_CHA01_0.0,13ASH_CHA02_0.0,13ASH_CHA03_0.0,13ASH_CHA04_0.0,13ASH_CHA05_0.0,13ASH_CHA06_0.0,15ASH_CHA07_0.0,15ASH_CHA08_0.0,15ASH_CHA09_0.0,15ASH_CHA10_0.0,15ASH_CHA11_0.0,15ASH_CHA12_0.0,13ASH_DUP01,13ASH_CURT_CURTILAGE 1&2,13ASH_CURT01_0.0,13ASH_CURT02_0.0,15ASH_CURT_CURTILAGE 1&2,15ASH_CURT01_0.0,15ASH_CURT02_0.0,13ASH_CHA01_0.3,13ASH_CHA01_0.5,13ASH_CHA02_0.3,13ASH_CHA02_0.5,13ASH_CHA03_0.3,13ASH_CHA03_0.5,13ASH_CHA04_0.3,13ASH_CHA04_0.5,13ASH_CHA05_0.3,13ASH_CHA05_0.5,13ASH_CHA06_0.3,13ASH_CHA06_0.5,15ASH_CHA07_0.3,15ASH_CHA07_0.5,15ASH_CHA08_0.3,15ASH_CHA08_0.5,15ASH_CHA09_0.3,15ASH_CHA09_0.5,15ASH_CHA10_0.3,15ASH_CHA10_0.5,15ASH_CHA11_0.3,15ASH_CHA11_0.5,15ASH_CHA12_0.3,15ASH_CHA12_0.5
Lead,,,,,,,,,,,,,,,,,,,,,21,12,,,,,,,,,,,,,,,,,20,21,,,,

,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Asbestos in Soils (AS 4964-2004),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Sample Description,,,,,Fine grained soil and rocks,,Fine grained soil and rocks,,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,,Fine grained soil and rocks,,,Fine grained soil and rocks,Fine grained soil and rocks,,,,,,,,,,Fine grained soil and rocks,Fine grained soil and rocks,,,Fine grained soil and rocks,Fine grained soil and rocks,,,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,Fine grained soil and rocks,,,Fine grained soil and rocks,Fine grained soil and rocks

Received Weight,,,,,544.46,,532.57,,530.21,614.37,647.76,,585.63,,,625.2,636.55,,,,,,,,,,594.7,600.11,,,608.27,643.11,,,716.77,591.26,653.99,648.75,674.68,633.86,,,637.51,526.56

Total Dry Mass,,,,,397.9,,369.38,,370.91,492.98,475.56,,429.2,,,477.39,484.09,,,,,,,,,,442.76,458.72,,,444.27,489.1,,,517.58,411.71,488.32,503.26,509.09,472.52,,,478.44,385.35

Total Analytical Fraction,,,,,397.9,,369.38,,370.91,492.98,475.56,,429.2,,,477.39,484.09,,,,,,,,,,442.76,458.72,,,444.27,489.1,,,517.58,411.71,488.32,503.26,509.09,472.52,,,478.44,385.35

Asbestos Detected,,,,,Yes,,Yes,,Yes,Yes,Yes,,Yes,,,Yes,Yes,,,,,,,,,,Yes,Yes,,,Yes,No,,,Yes,No,Yes,No,Yes,Yes,,,No,No

Asbestos Content (as asbestos),,,,,0.27,,< 0.01,,< 0.01,0.19,0.01,,0.47,,,< 0.01,0.07,,,,,,,,,,< 0.01,< 0.01,,,< 0.01,< 0.01,,,< 0.01,< 0.01,0.68,< 0.01,< 0.01,< 0.01,,,< 0.01,< 0.01

